2026-06-26 11:34:50,743 | INFO | GET / | status=200 | duracao=0.0037s
2026-06-26 11:34:51,223 | INFO | GET /favicon.ico | status=404 | duracao=0.0004s
2026-06-26 11:35:39,252 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 11:36:21,978 | INFO | GET /docs | status=200 | duracao=0.0003s
2026-06-26 11:36:22,801 | INFO | GET /openapi.json | status=200 | duracao=0.0053s
2026-06-26 11:38:16,815 | INFO | POST /predict | status=200 | duracao=0.0023s
2026-06-26 11:38:35,369 | INFO | POST /predict | status=200 | duracao=0.0010s
2026-06-26 12:01:56,797 | INFO | GET /health | status=200 | duracao=0.0008s
2026-06-26 12:04:00,942 | INFO | GET /health | status=200 | duracao=0.0008s
2026-06-26 12:04:09,119 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:04:10,455 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:04:10,806 | INFO | GET / | status=200 | duracao=0.0005s
2026-06-26 12:04:12,017 | INFO | OPTIONS /predict | status=405 | duracao=0.0004s
2026-06-26 12:04:12,981 | INFO | OPTIONS /predict | status=405 | duracao=0.0004s
2026-06-26 12:04:20,701 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:04:30,440 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:04:40,990 | INFO | GET /health | status=200 | duracao=0.0008s
2026-06-26 12:04:50,786 | INFO | GET /health | status=200 | duracao=0.0007s
2026-06-26 12:05:00,859 | INFO | GET /health | status=200 | duracao=0.0007s
2026-06-26 12:05:10,669 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:05:20,880 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:05:31,018 | INFO | GET /health | status=200 | duracao=0.0010s
2026-06-26 12:05:40,594 | INFO | GET /health | status=200 | duracao=0.0005s
2026-06-26 12:05:49,799 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:06:00,163 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:06:10,657 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:06:20,728 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:06:30,865 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:06:41,032 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:06:51,028 | INFO | GET /health | status=200 | duracao=0.0005s
2026-06-26 12:07:00,764 | INFO | GET /health | status=200 | duracao=0.0019s
2026-06-26 12:07:12,218 | INFO | GET / | status=200 | duracao=0.0011s
2026-06-26 12:07:45,001 | INFO | GET /monitor | status=200 | duracao=0.0039s
2026-06-26 12:07:45,513 | INFO | GET /health | status=200 | duracao=0.0009s
2026-06-26 12:07:51,332 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:07:53,834 | INFO | GET / | status=200 | duracao=0.0005s
2026-06-26 12:07:55,655 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:07:56,099 | INFO | POST /predict | status=200 | duracao=0.0024s
2026-06-26 12:07:57,222 | INFO | POST /predict | status=200 | duracao=0.0012s
2026-06-26 12:08:05,428 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:08:15,788 | INFO | GET /health | status=200 | duracao=0.0007s
2026-06-26 12:08:25,548 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:08:35,442 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:08:45,801 | INFO | GET /health | status=200 | duracao=0.0005s
2026-06-26 12:08:55,590 | INFO | GET /health | status=200 | duracao=0.0007s
2026-06-26 12:09:05,548 | INFO | GET /health | status=200 | duracao=0.0013s
2026-06-26 12:09:15,664 | INFO | GET /health | status=200 | duracao=0.0005s
2026-06-26 12:09:25,872 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:09:35,534 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:12:04,115 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:12:18,259 | INFO | GET / | status=200 | duracao=0.0016s
2026-06-26 12:12:34,937 | INFO | GET /painel | status=200 | duracao=0.0061s
2026-06-26 12:12:35,440 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:12:50,630 | INFO | GET /health | status=200 | duracao=0.0014s
2026-06-26 12:13:05,336 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:13:05,928 | INFO | POST /predict | status=200 | duracao=0.0025s
2026-06-26 12:13:17,796 | INFO | POST /predict | status=200 | duracao=0.0011s
2026-06-26 12:13:20,330 | INFO | GET /health | status=200 | duracao=0.0008s
2026-06-26 12:13:42,794 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:13:50,294 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:14:05,274 | INFO | GET /health | status=200 | duracao=0.0016s
2026-06-26 12:14:05,885 | INFO | POST /predict | status=200 | duracao=0.0010s
2026-06-26 12:14:20,407 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:14:22,180 | INFO | POST /predict | status=200 | duracao=0.0010s
2026-06-26 12:14:30,711 | INFO | POST /predict | status=200 | duracao=0.0010s
2026-06-26 12:14:35,211 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:14:42,358 | INFO | POST /predict | status=200 | duracao=0.0010s
2026-06-26 12:14:42,848 | INFO | POST /predict | status=200 | duracao=0.0012s
2026-06-26 12:14:50,350 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:15:05,863 | INFO | GET /health | status=200 | duracao=0.0007s
2026-06-26 12:15:20,683 | INFO | GET /health | status=200 | duracao=0.0008s
2026-06-26 12:15:35,784 | INFO | GET /health | status=200 | duracao=0.0005s
2026-06-26 12:15:50,797 | INFO | GET /health | status=200 | duracao=0.0005s
2026-06-26 12:16:57,239 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:17:03,003 | INFO | POST /predict | status=200 | duracao=0.0009s
2026-06-26 12:17:05,447 | INFO | GET /health | status=200 | duracao=0.0005s
2026-06-26 12:17:20,518 | INFO | GET /health | status=200 | duracao=0.0005s
2026-06-26 12:17:36,105 | INFO | GET /health | status=200 | duracao=0.0006s
2026-06-26 12:17:50,777 | INFO | GET /health | status=200 | duracao=0.0005s
2026-06-26 12:18:05,963 | INFO | GET /health | status=200 | duracao=0.0010s
